Player,Position,WT,Team,Conference,NBA_Draft_Status,Allstar_year,Life_Event,Event_date,PM_monthprev,PM_monthafter
Marc Gasol,C,255,Memphis Grizzlies,Western,2007 Rnd 2 Pick 18,Yes,Birth,9/1/2014,3.5,7.3
Draymond Green,F,230,Golden State Warriors,Western,2012 Rnd 2 Pick 5,Yes,Birth,12/22/2016,13.2,10.2
James Harden,SG,220,Houston Rockets,Western,2009 Rnd 1 Pick 3,,Null,,,
Gordon Hayward,GF,225,Utah Jazz,Western,2010 Rnd 1 Pick 9,No,Married,5/24/2014,-7.9,-0.5
Gordon Hayward,GF,225,Utah Jazz,Western,2010 Rnd 1 Pick 9,No,Birth,6/6/2015,-2.2,1
Gordon Hayward,GF,225,Utah Jazz,Western,2010 Rnd 1 Pick 9,Yes,Birth,7/11/2016,4.7,8.9
DeAndre Jordan,C,265,Los Angeles Clippers,Western,2008 Rnd 2 Pick 5,Yes,Birth,4/20/2016,3.5,15.8
Kawhi Leonard,F,230,San Antonio Spurs,Western,2011 Rnd 1 Pick 15,Yes,Birth,7/1/2016,-6,0.5
Klay Thompson,G,215,Golden State Warriors,Western,2011 Rnd 1 Pick 11,,Null,,,
Russell Westbrook,G,200,Oklahoma City Thunder,Western,2008 Rnd 1 Pick 4,Yes,Birth,5/16/2017,1,6.7
Russell Westbrook,G,200,Oklahoma City Thunder,Western,2008 Rnd 1 Pick 4,Yes,Married,8/29/2015,2,8.3
Carmelo Anthony,F,240,New York Knicks,Eastern ,2003 Rnd 1 Pick 3,Yes,Birth,3/7/2007,-1.8,4.5
Carmelo Anthony,F,240,New York Knicks,Eastern ,2003 Rnd 1 Pick 3,Yes,Married,7/10/2010,-1.7,0.5
DeMar DeRozan,GF,221,Toronto Raptors,Eastern ,2009 Rnd 1 Pick 9,Yes,Birth,5/12/2013,4.7,-0.5
Paul George,GF,220,Indiana Pacers,Eastern ,2010 Rnd 1 Pick 10,No,Birth,5/1/2014,-3,2.5
Kyrie Irving,G,193,Cleveland Cavaliers,Eastern ,2011 Rnd 1 Pick 1,No,Birth,11/23/2015,5.2,7
LeBron James,F,250,Cleveland Cavaliers,Eastern ,2003 Rnd 1 Pick 1,Yes,Birth,6/14/2007,10.3,3
LeBron James,F,250,Cleveland Cavaliers,Eastern ,2003 Rnd 1 Pick 1,Yes,Birth,10/6/2004,-2.8,7.9
LeBron James,F,250,Cleveland Cavaliers,Eastern ,2003 Rnd 1 Pick 1,Yes,Birth,10/22/2014,2.4,4.7
LeBron James,F,250,Cleveland Cavaliers,Eastern ,2003 Rnd 1 Pick 1,Yes,Married,9/14/2013,14.3,6.4
